fsi, 298, 5.525, 0.053
fsi, 353, 5.625, 0.075
fsi, 373, 5.575, 0.088
fsi, 423, 5.625, 0.104
tfsi, 298, 5.575, 0.02
tfsi, 353, 5.575, 0.034
tfsi, 373, 5.525, 0.041
tfsi, 423, 5.525, 0.059
beti, 298, 5.725, 0.018
beti, 353, 5.875, 0.03
beti, 373, 5.825, 0.037
beti, 423, 5.775, 0.059
fsi, 298, 5.525, 0.053
fsi, 353, 5.625, 0.075
fsi, 373, 5.575, 0.088
fsi, 423, 5.625, 0.104
tfsi, 298, 5.575, 0.02
tfsi, 353, 5.575, 0.034
tfsi, 373, 5.525, 0.041
tfsi, 423, 5.525, 0.059
beti, 298, 5.725, 0.018
beti, 353, 5.875, 0.03
beti, 373, 5.825, 0.037
beti, 423, 5.775, 0.059
fsi, 298, 5.525, 0.053
fsi, 353, 5.625, 0.075
fsi, 373, 5.575, 0.088
fsi, 423, 5.625, 0.104
tfsi, 298, 5.575, 0.02
tfsi, 353, 5.575, 0.034
tfsi, 373, 5.525, 0.041
tfsi, 423, 5.525, 0.059
beti, 298, 5.725, 0.018
beti, 353, 5.875, 0.03
beti, 373, 5.825, 0.037
beti, 423, 5.775, 0.059
fsi, 298, 5.525, 0.053
fsi, 353, 5.625, 0.075
fsi, 373, 5.575, 0.088
fsi, 423, 5.625, 0.104
tfsi, 298, 5.575, 0.02
tfsi, 353, 5.575, 0.034
tfsi, 373, 5.525, 0.041
tfsi, 423, 5.525, 0.059
beti, 298, 5.725, 0.018
beti, 353, 5.875, 0.03
beti, 373, 5.825, 0.037
beti, 423, 5.775, 0.059
fsi, 298, 5.525, 0.053
fsi, 353, 5.625, 0.075
fsi, 373, 5.575, 0.088
fsi, 423, 5.625, 0.104
tfsi, 298, 5.575, 0.02
tfsi, 353, 5.575, 0.034
tfsi, 373, 5.525, 0.041
tfsi, 423, 5.525, 0.059
beti, 298, 5.725, 0.018
beti, 353, 5.875, 0.03
beti, 373, 5.825, 0.037
beti, 423, 5.775, 0.059
