anion,T,ion,alpha_soft,alpha_soft_se,alpha_hard,alpha_hard_se
fsi,298,0,0.00311986,0.00090965,0.00140148,0.00019745
fsi,298,1,0.00393941,0.00087671,0.0022,0.00027621
fsi,298,2,0.00591286,0.00210523,0.00232803,0.0002529
fsi,298,3,0.00256675,0.00067734,0.00183693,0.00023543
fsi,298,4,0.00323246,0.00094448,0.00100274,0.00020209
fsi,353,0,0.00590018,0.00420394,0.00466549,0.0005154
fsi,353,1,0.0079184,0.0018704,0.00578535,0.00061427
fsi,353,2,0.00868303,0.00417774,0.00529278,0.00050255
fsi,353,3,0.00809127,0.00311356,0.00662454,0.00056728
fsi,353,4,0.0100887,0.00290834,0.00453339,0.00053161
fsi,373,0,0.00805209,0.00455144,0.0063664,0.00065331
fsi,373,1,0.0081351,0.00284407,0.005185,0.00063642
fsi,373,2,0.01023026,0.00386183,0.00870372,0.00070749
fsi,373,3,0.01030168,0.00286976,0.00604075,0.00074379
fsi,373,4,0.0087818,0.00182211,0.00691904,0.00063836
fsi,423,0,0.01017343,0.00374847,0.01325908,0.00089023
fsi,423,1,0.01264099,0.0044972,0.01241244,0.00104994
fsi,423,2,0.00967391,0.00459252,0.01336842,0.00110716
fsi,423,3,0.01673866,0.00706919,0.01314254,0.00094499
fsi,423,4,0.01114225,0.00579007,0.01595981,0.00114813
tfsi,298,0,0.00070653,0.00033592,0.00021167,6.738e-05
tfsi,298,1,-0.0,0.0,0.00013986,5.532e-05
tfsi,298,2,0.00041354,0.00025449,0.000169,5.383e-05
tfsi,298,3,0.0010179,0.00061183,8.428e-05,3.492e-05
tfsi,298,4,0.00068358,0.00058566,0.00013754,5.066e-05
tfsi,353,0,0.0026592,0.00093369,0.00086328,0.00011292
tfsi,353,1,0.00220944,0.0008445,0.00071494,0.00014409
tfsi,353,2,0.00210166,0.00077382,0.00091667,0.00011892
tfsi,353,3,0.00276552,0.00081164,0.00089323,0.00014489
tfsi,353,4,0.00152395,0.00090821,0.00081122,0.00012378
tfsi,373,0,0.00190455,0.001412,0.00179085,0.00019336
tfsi,373,1,0.00493702,0.00163546,0.0015592,0.00018479
tfsi,373,2,0.00519812,0.00147996,0.00133351,0.00018613
tfsi,373,3,0.00369379,0.00083665,0.001593,0.00022293
tfsi,373,4,0.00298172,0.0009664,0.00190096,0.00019851
tfsi,423,0,0.00776199,0.00167343,0.00346581,0.00037516
tfsi,423,1,0.00735822,0.00194144,0.00437316,0.00038128
tfsi,423,2,0.00890317,0.00295319,0.00407505,0.00035078
tfsi,423,3,0.00602531,0.00229936,0.00384886,0.00031329
tfsi,423,4,0.00461541,0.00151191,0.00393163,0.0002947
beti,298,0,0.00053887,0.00022671,0.00015541,5.667e-05
beti,298,1,,,6.774e-05,3.187e-05
beti,298,2,0.00031414,0.00041943,5.405e-05,2.799e-05
beti,298,3,0.00043187,0.00026735,0.00010989,4.417e-05
beti,298,4,0.000112,0.00022981,0.00010431,4.024e-05
beti,353,0,0.00106219,0.00055924,0.0007711,0.00011475
beti,353,1,0.00185562,0.00111053,0.00055609,9.128e-05
beti,353,2,0.00186169,0.00065519,0.00047416,0.00011225
beti,353,3,0.00319429,0.00090304,0.00061409,0.0001258
beti,353,4,0.00308943,0.00127772,0.00049059,0.0001033
beti,373,0,0.00319131,0.00123089,0.00090899,0.00013744
beti,373,1,0.00202006,0.00070657,0.0008234,0.00014201
beti,373,2,0.00265621,0.00080378,0.0009971,0.00013292
beti,373,3,0.00276922,0.00113301,0.00081766,0.00016559
beti,373,4,0.00210033,0.00068809,0.00112259,0.0001449
beti,423,0,0.00801233,0.00171923,0.00282727,0.00027287
beti,423,1,0.00473241,0.00137122,0.00270646,0.00025233
beti,423,2,0.00670251,0.00174144,0.00381024,0.00023662
beti,423,3,0.00517054,0.00159306,0.00311745,0.0002774
beti,423,4,0.00629605,0.0015336,0.00278692,0.0003274
