anion,T,ion,theta
fsi,298,0,0.09016
fsi,298,1,0.12956
fsi,298,2,0.09288
fsi,298,3,0.14578
fsi,298,4,0.08341
fsi,353,0,0.12772
fsi,353,1,0.16524
fsi,353,2,0.11609
fsi,353,3,0.1551
fsi,353,4,0.15202
fsi,373,0,0.14397
fsi,373,1,0.1699
fsi,373,2,0.16267
fsi,373,3,0.14978
fsi,373,4,0.163228
fsi,423,0,0.18754
fsi,423,1,0.17417
fsi,423,2,0.1875
fsi,423,3,0.182778
fsi,423,4,0.178321
tfsi,298,0,0.10047
tfsi,298,1,0.0448
tfsi,298,2,0.0802
tfsi,298,3,0.033756
tfsi,298,4,0.04679
tfsi,353,0,0.06454
tfsi,353,1,0.09631
tfsi,353,2,0.07875
tfsi,353,3,0.0999
tfsi,353,4,0.07422
tfsi,373,0,0.08635
tfsi,373,1,0.09059
tfsi,373,2,0.07051
tfsi,373,3,0.12568
tfsi,373,4,0.09113
tfsi,423,0,0.12083
tfsi,423,1,0.13144
tfsi,423,2,0.1127
tfsi,423,3,0.11176
tfsi,423,4,0.11082
beti,298,0,0.13927
beti,298,1,0.00852
beti,298,2,0.03064
beti,298,3,0.05451
beti,298,4,0.03323
beti,353,0,0.088661
beti,353,1,0.05078
beti,353,2,0.09117
beti,353,3,0.06919
beti,353,4,0.0557
beti,373,0,0.06451
beti,373,1,0.08006
beti,373,2,0.09239
beti,373,3,0.07079
beti,373,4,0.09061
beti,423,0,0.10488
beti,423,1,0.10765
beti,423,2,0.1062
beti,423,3,0.09572
beti,423,4,0.12357
