anion,T,trail,alpha_soft,alpha_soft_se,alpha_hard,alpha_hard_se
fsi,298,0.1,,,0.00157554,0.00019183
fsi,298,0.2,0.00614488,0.00752839,0.00171087,0.00019271
fsi,298,0.3,0.01030628,0.00250092,0.00170932,0.00019307
fsi,298,0.4,0.01222408,0.00199136,0.00167876,0.00018608
fsi,298,0.5,0.01076169,0.0015804,0.00165685,0.00018468
fsi,298,0.6,0.01013032,0.00125712,0.00165772,0.00018476
fsi,298,0.7,0.0084673,0.00121687,0.00165715,0.00018459
fsi,298,0.8,0.00605148,0.00095223,0.0016565,0.00018446
fsi,298,0.9,0.00576057,0.00084511,0.00165517,0.00018436
fsi,298,1.0,0.0054476,0.00075948,0.00165679,0.00018509
fsi,298,1.1,0.0054544,0.00074942,0.00165563,0.00018562
fsi,298,1.2,0.00559139,0.00077961,0.00165513,0.00018566
fsi,298,1.3,0.00496882,0.00061019,0.00165442,0.0001856
fsi,298,1.4,0.00485309,0.000512,0.00165456,0.00018436
fsi,298,1.5,0.00496085,0.00051029,0.00165417,0.00018437
fsi,298,1.6,0.00430535,0.0005538,0.00165373,0.00018434
fsi,298,1.7,0.00420369,0.00048701,0.00167401,0.00018464
fsi,298,1.8,0.004275,0.00047057,0.00166949,0.00018327
fsi,298,1.9,0.00405148,0.00040203,0.00167273,0.00017947
fsi,298,2.0,0.00346783,0.00046601,0.00170443,0.00017818
fsi,298,2.5,0.0019709,0.00039102,0.00171277,0.00018431
fsi,298,3.0,0.00150187,0.00031645,0.00156045,0.00018359
fsi,298,3.5,0.00150093,0.00027548,0.00151024,0.00017584
fsi,298,4.0,0.00161599,0.00024721,0.00152973,0.00016737
fsi,298,4.5,0.00161784,0.00020725,0.00151542,0.00016535
fsi,298,5.0,0.00141464,0.00019655,0.00142654,0.00013912
fsi,298,5.5,0.00129197,0.00017814,0.00139496,0.00013699
fsi,298,6.0,0.00131123,0.00014934,0.00133037,0.00012686
fsi,298,6.5,0.00116838,0.00012915,0.00128593,0.0001254
fsi,298,7.0,0.00110712,0.00012599,0.00128811,0.00013416
fsi,298,7.5,0.00102524,0.00011744,0.00124526,0.00011271
fsi,298,8.0,0.00091307,0.00011716,0.00098497,0.00012115
fsi,298,8.5,0.00088994,9.861e-05,0.00097816,0.00010858
fsi,298,9.0,0.00078913,9.472e-05,0.00094312,9.934e-05
fsi,298,9.5,0.00073519,7.979e-05,0.00089141,9.546e-05
fsi,298,10.0,0.00061702,7.578e-05,0.00076957,8.033e-05
fsi,353,0.1,,,0.0056494,0.00029336
fsi,353,0.2,,,0.00614824,0.00040077
fsi,353,0.3,,,0.00592865,0.00040225
fsi,353,0.4,0.00529431,0.00561766,0.00602685,0.00040868
fsi,353,0.5,0.01267625,0.00507475,0.00602155,0.00040438
fsi,353,0.6,0.01409683,0.00455579,0.00602109,0.00039786
fsi,353,0.7,0.01809039,0.00357968,0.00598957,0.00038889
fsi,353,0.8,0.0174133,0.00246803,0.00593354,0.00040042
fsi,353,0.9,0.01835897,0.00211477,0.00592692,0.000402
fsi,353,1.0,0.01886694,0.00200148,0.00600043,0.00041373
fsi,353,1.1,0.01661312,0.00186474,0.00600254,0.00041532
fsi,353,1.2,0.01701484,0.00170839,0.00599415,0.00041697
fsi,353,1.3,0.01726622,0.00154493,0.00592659,0.00041993
fsi,353,1.4,0.01450473,0.00118477,0.00591966,0.00041985
fsi,353,1.5,0.01331079,0.0012548,0.0059332,0.00041953
fsi,353,1.6,0.01339937,0.00109804,0.00592711,0.00042033
fsi,353,1.7,0.01291561,0.00085945,0.00592593,0.00042104
fsi,353,1.8,0.01276197,0.00075332,0.00592591,0.00042271
fsi,353,1.9,0.01272311,0.00079824,0.00592385,0.00042265
fsi,353,2.0,0.01210389,0.00077957,0.00592324,0.00042576
fsi,353,2.5,0.007986,0.00061501,0.00592484,0.00042205
fsi,353,3.0,0.00693183,0.00042661,0.00577807,0.00042262
fsi,353,3.5,0.00457511,0.00038628,0.0058522,0.00036878
fsi,353,4.0,0.00297597,0.00034452,0.00555366,0.00034448
fsi,353,4.5,0.00307994,0.00027871,0.00505578,0.00029961
fsi,353,5.0,0.00232567,0.00024756,0.00426073,0.00028982
fsi,353,5.5,0.00235194,0.00019326,0.00331647,0.00034174
fsi,353,6.0,0.00192585,0.00017653,0.00319796,0.00024771
fsi,353,6.5,0.00175718,0.00014214,0.00291101,0.00024292
fsi,353,7.0,0.00153218,0.00013881,0.00220303,0.00022403
fsi,353,7.5,0.0013054,0.0001234,0.00174524,0.00018579
fsi,353,8.0,0.00110419,9.923e-05,0.00158107,0.00017075
fsi,353,8.5,0.00102027,9.488e-05,0.00141352,0.00016396
fsi,353,9.0,0.00087838,6.844e-05,0.00103159,0.00014295
fsi,353,9.5,0.00078118,6.229e-05,0.00091307,0.00013727
fsi,353,10.0,0.00065412,4.988e-05,0.00078917,0.00012525
fsi,373,0.1,,,0.00621359,0.00043619
fsi,373,0.2,,,0.00720947,0.00045821
fsi,373,0.3,,,0.00717224,0.00045963
fsi,373,0.4,0.03536465,0.01926887,0.00713504,0.0004705
fsi,373,0.5,0.00778502,0.00799156,0.00720105,0.00047286
fsi,373,0.6,0.01494673,0.00828092,0.00719104,0.00047012
fsi,373,0.7,0.01755761,0.00390522,0.00722331,0.00048175
fsi,373,0.8,0.01565845,0.00346339,0.00721266,0.00048161
fsi,373,0.9,0.01955374,0.00291686,0.00720417,0.00048202
fsi,373,1.0,0.01608286,0.002597,0.0071895,0.00046781
fsi,373,1.1,0.01755392,0.00240687,0.00718458,0.00046737
fsi,373,1.2,0.01565673,0.00186697,0.00715796,0.00047233
fsi,373,1.3,0.01625944,0.00170526,0.0072617,0.00049992
fsi,373,1.4,0.01682404,0.00152668,0.00721562,0.00051503
fsi,373,1.5,0.01687336,0.00128322,0.00721823,0.00051945
fsi,373,1.6,0.01619583,0.00123391,0.00721583,0.00052049
fsi,373,1.7,0.01352604,0.00113716,0.00713291,0.00051878
fsi,373,1.8,0.01347823,0.00106104,0.00712683,0.00051821
fsi,373,1.9,0.01236164,0.00109153,0.007123,0.00051475
fsi,373,2.0,0.01141499,0.00081695,0.00719104,0.00050699
fsi,373,2.5,0.00845241,0.00057708,0.00705157,0.00050435
fsi,373,3.0,0.00753754,0.0004633,0.00704474,0.00050948
fsi,373,3.5,0.00663306,0.00036213,0.00685472,0.00046045
fsi,373,4.0,0.00533257,0.00025693,0.0058209,0.00053329
fsi,373,4.5,0.00460842,0.00024149,0.00552029,0.00041109
fsi,373,5.0,0.00357093,0.00019278,0.004482,0.00036316
fsi,373,5.5,0.00294368,0.00017779,0.00338389,0.00035184
fsi,373,6.0,0.00254746,0.00013919,0.00257853,0.00027418
fsi,373,6.5,0.00214468,0.00013674,0.00226774,0.00022466
fsi,373,7.0,0.00197998,0.00011953,0.00192393,0.00021791
fsi,373,7.5,0.0016177,0.00010357,0.00178817,0.00021914
fsi,373,8.0,0.00134043,9.401e-05,0.00145497,0.0002125
fsi,373,8.5,0.0011132,8.218e-05,0.0012026,0.00019795
fsi,373,9.0,0.00098191,6.256e-05,0.00116339,0.00018344
fsi,373,9.5,0.00078924,6.829e-05,0.00088565,0.00014829
fsi,373,10.0,0.00062982,6.712e-05,0.00070747,0.00011881
fsi,423,0.1,,,0.01234529,0.00057702
fsi,423,0.2,,,0.01423901,0.00069681
fsi,423,0.3,,,0.01509343,0.0007423
fsi,423,0.4,,,0.01654194,0.00059084
fsi,423,0.5,,,0.0171084,0.00058691
fsi,423,0.6,0.00373269,0.00825458,0.01701391,0.00057289
fsi,423,0.7,0.00711544,0.00779992,0.0172136,0.00057819
fsi,423,0.8,0.01309963,0.00510278,0.01721393,0.00058323
fsi,423,0.9,0.02854284,0.00469798,0.0175421,0.00062308
fsi,423,1.0,0.02511106,0.0041968,0.01750901,0.00062122
fsi,423,1.1,0.02207684,0.003138,0.01764527,0.00059725
fsi,423,1.2,0.02335807,0.00300919,0.01754683,0.00060948
fsi,423,1.3,0.0250285,0.00224396,0.01717849,0.00056934
fsi,423,1.4,0.02610202,0.00221136,0.01709042,0.00054708
fsi,423,1.5,0.02674144,0.00195601,0.01704913,0.00055244
fsi,423,1.6,0.02552491,0.00183053,0.01689132,0.00055433
fsi,423,1.7,0.02340041,0.00147894,0.01680943,0.00059282
fsi,423,1.8,0.02288683,0.0013173,0.0168114,0.00058535
fsi,423,1.9,0.02076319,0.00130545,0.0168647,0.00057018
fsi,423,2.0,0.01716753,0.00145367,0.01699129,0.00056293
fsi,423,2.5,0.01253168,0.00096736,0.01680842,0.0005892
fsi,423,3.0,0.01020996,0.00058215,0.01630163,0.00063822
fsi,423,3.5,0.0079672,0.00049378,0.01496543,0.00051877
fsi,423,4.0,0.00620076,0.00032946,0.0121274,0.00067342
fsi,423,4.5,0.00522089,0.00022801,0.00821196,0.00068128
fsi,423,5.0,0.00395989,0.00018333,0.00496675,0.00054262
fsi,423,5.5,0.00334185,0.00013126,0.00344206,0.00046438
