anion,T,trail,theta,theta_se
fsi,298,0.1,0.029234,0.003848
fsi,298,0.2,0.044142,0.005739
fsi,298,0.3,0.055472,0.006765
fsi,298,0.4,0.064198,0.007997
fsi,298,0.5,0.073278,0.00964
fsi,298,0.6,0.082002,0.010117
fsi,298,0.7,0.089032,0.010616
fsi,298,0.8,0.095952,0.010744
fsi,298,0.9,0.102704,0.012115
fsi,298,1.0,0.108358,0.012335
fsi,298,1.1,0.114316,0.012148
fsi,298,1.2,0.120741,0.01307
fsi,298,1.3,0.126955,0.012795
fsi,298,1.4,0.132918,0.013299
fsi,298,1.5,0.138278,0.01316
fsi,298,1.6,0.144801,0.013091
fsi,298,1.7,0.149885,0.013055
fsi,298,1.8,0.15367,0.012893
fsi,298,1.9,0.159256,0.013044
fsi,298,2.0,0.163454,0.013079
fsi,298,2.5,0.188477,0.015036
fsi,298,3.0,0.210047,0.015993
fsi,298,3.5,0.22879,0.016538
fsi,298,4.0,0.246529,0.017192
fsi,298,4.5,0.26652,0.016463
fsi,298,5.0,0.282819,0.020454
fsi,298,5.5,0.296773,0.018854
fsi,298,6.0,0.313276,0.019618
fsi,298,6.5,0.325993,0.018394
fsi,298,7.0,0.334543,0.018001
fsi,298,7.5,0.346907,0.016935
fsi,298,8.0,0.358794,0.017509
fsi,298,8.5,0.364112,0.017595
fsi,298,9.0,0.375498,0.019146
fsi,298,9.5,0.386437,0.019779
fsi,298,10.0,0.396508,0.025031
fsi,353,0.1,0.020692,0.001373
fsi,353,0.2,0.044282,0.003103
fsi,353,0.3,0.061886,0.004278
fsi,353,0.4,0.077052,0.005064
fsi,353,0.5,0.090556,0.005918
fsi,353,0.6,0.102928,0.00648
fsi,353,0.7,0.1152,0.007759
fsi,353,0.8,0.126724,0.008526
fsi,353,0.9,0.137834,0.008681
fsi,353,1.0,0.143234,0.009164
fsi,353,1.1,0.154154,0.009432
fsi,353,1.2,0.164572,0.009576
fsi,353,1.3,0.175456,0.009725
fsi,353,1.4,0.186946,0.010309
fsi,353,1.5,0.19583,0.010403
fsi,353,1.6,0.204634,0.01055
fsi,353,1.7,0.214848,0.011266
fsi,353,1.8,0.224632,0.011549
fsi,353,1.9,0.22881,0.011832
fsi,353,2.0,0.238357,0.012037
fsi,353,2.5,0.280494,0.013298
fsi,353,3.0,0.315884,0.01574
fsi,353,3.5,0.354841,0.015177
fsi,353,4.0,0.38609,0.01505
fsi,353,4.5,0.418362,0.01541
fsi,353,5.0,0.436137,0.014275
fsi,353,5.5,0.457286,0.013242
fsi,353,6.0,0.473581,0.017529
fsi,353,6.5,0.491571,0.01731
fsi,353,7.0,0.512259,0.020958
fsi,353,7.5,0.518941,0.022874
fsi,353,8.0,0.529955,0.025158
fsi,353,8.5,0.540917,0.027277
fsi,353,9.0,0.553318,0.027442
fsi,353,9.5,0.563118,0.026696
fsi,353,10.0,0.571645,0.027455
fsi,373,0.1,0.024006,0.000739
fsi,373,0.2,0.052125,0.001502
fsi,373,0.3,0.062796,0.001789
fsi,373,0.4,0.081764,0.002409
fsi,373,0.5,0.098496,0.002797
fsi,373,0.6,0.106416,0.002879
fsi,373,0.7,0.122418,0.003562
fsi,373,0.8,0.12981,0.003742
fsi,373,0.9,0.143549,0.004395
fsi,373,1.0,0.15791,0.00477
fsi,373,1.1,0.164501,0.004955
fsi,373,1.2,0.179585,0.005593
fsi,373,1.3,0.19304,0.004844
