anion,T,beta,beta_se,prefactor,prefactor_se,mean_tau_ps,median_tau_ps,p95_tau_ps
fsi,298,1.6501633148591415,0.03692539590822484,0.7126595532916743,0.13342157549736763,30.651,2.0,149.0
fsi,353,1.8335805716564468,0.06078115268152054,1.3871006222535056,0.3794493748488092,18.913,2.0,101.0
fsi,373,1.932121116511327,0.06877113642661037,1.859359069066021,0.5631899433453664,16.202,2.0,83.0
fsi,423,2.0376020941231783,0.08919855961545549,2.3470827923962685,0.8418810229986881,12.437,3.0,59.0
tfsi,298,1.4323460759485973,0.02404664668711083,0.3731251384562223,0.052784343274515824,131.296,2.0,424.1
tfsi,353,1.395291654306412,0.025587173829245156,0.37901282822070476,0.04921945825722085,71.656,2.0,419.0
tfsi,373,1.4397069922314931,0.040544041477017484,0.4621758694124522,0.090431686018832,53.865,2.0,326.9
tfsi,423,1.489891601324584,0.05340269224605953,0.5450739028309486,0.12913506125921892,33.956,3.0,200.0
beti,298,1.440972103280302,0.021152884603767807,0.3933248040938154,0.050710440172158734,155.274,2.0,484.8
beti,353,1.3875978887020655,0.02774300522739359,0.34877473380421137,0.051141071215970176,85.282,2.0,459.8
beti,373,1.4738767415707899,0.036476735969677224,0.46337805199849813,0.0873776471672587,62.279,2.0,352.0
beti,423,1.5756671646983658,0.06343326537006432,0.7553013399209353,0.22484925449153298,40.411,3.0,237.5
fsi,298,1.6501633148591415,0.03692539590822484,0.7126595532916743,0.13342157549736763,30.651,2.0,149.0
fsi,353,1.8335805716564468,0.06078115268152054,1.3871006222535056,0.3794493748488092,18.913,2.0,101.0
fsi,373,1.932121116511327,0.06877113642661037,1.859359069066021,0.5631899433453664,16.202,2.0,83.0
fsi,423,2.0376020941231783,0.08919855961545549,2.3470827923962685,0.8418810229986881,12.437,3.0,59.0
tfsi,298,1.4323460759485973,0.02404664668711083,0.3731251384562223,0.052784343274515824,131.296,2.0,424.1
tfsi,353,1.395291654306412,0.025587173829245156,0.37901282822070476,0.04921945825722085,71.656,2.0,419.0
tfsi,373,1.4397069922314931,0.040544041477017484,0.4621758694124522,0.090431686018832,53.865,2.0,326.9
tfsi,423,1.489891601324584,0.05340269224605953,0.5450739028309486,0.12913506125921892,33.956,3.0,200.0
beti,298,1.440972103280302,0.021152884603767807,0.3933248040938154,0.050710440172158734,155.274,2.0,484.8
beti,353,1.3875978887020655,0.02774300522739359,0.34877473380421137,0.051141071215970176,85.282,2.0,459.8
beti,373,1.4738767415707899,0.036476735969677224,0.46337805199849813,0.0873776471672587,62.279,2.0,352.0
beti,423,1.5756671646983658,0.06343326537006432,0.7553013399209353,0.22484925449153298,40.411,3.0,237.5
fsi,298,1.6501633148591415,0.03692539590822484,0.7126595532916743,0.13342157549736763,30.651,2.0,149.0
fsi,353,1.8335805716564468,0.06078115268152054,1.3871006222535056,0.3794493748488092,18.913,2.0,101.0
fsi,373,1.932121116511327,0.06877113642661037,1.859359069066021,0.5631899433453664,16.202,2.0,83.0
fsi,423,2.0376020941231783,0.08919855961545549,2.3470827923962685,0.8418810229986881,12.437,3.0,59.0
tfsi,298,1.4323460759485973,0.02404664668711083,0.3731251384562223,0.052784343274515824,131.296,2.0,424.1
tfsi,353,1.395291654306412,0.025587173829245156,0.37901282822070476,0.04921945825722085,71.656,2.0,419.0
tfsi,373,1.4397069922314931,0.040544041477017484,0.4621758694124522,0.090431686018832,53.865,2.0,326.9
tfsi,423,1.489891601324584,0.05340269224605953,0.5450739028309486,0.12913506125921892,33.956,3.0,200.0
beti,298,1.440972103280302,0.021152884603767807,0.3933248040938154,0.050710440172158734,155.274,2.0,484.8
beti,353,1.3875978887020655,0.02774300522739359,0.34877473380421137,0.051141071215970176,85.282,2.0,459.8
beti,373,1.4738767415707899,0.036476735969677224,0.46337805199849813,0.0873776471672587,62.279,2.0,352.0
beti,423,1.5756671646983658,0.06343326537006432,0.7553013399209353,0.22484925449153298,40.411,3.0,237.5
