anion,T,state,alpha,alpha_se
fsi,298,soft,0.005447597878663121,0.0007594802491481029
fsi,298,hard,0.0016567883141350903,0.00018509388860764566
fsi,353,soft,0.018866941766339993,0.0020014804479396926
fsi,353,hard,0.00600043005892626,0.0004137338622918681
fsi,373,soft,0.01608285989711376,0.0025969992902734273
fsi,373,hard,0.00718950114588212,0.00046780815549042805
fsi,423,soft,0.025111061126046635,0.004196799216468942
fsi,423,hard,0.017509014084403994,0.0006212175302894089
tfsi,298,soft,0.0017070888368905424,0.0002640581827332405
tfsi,298,hard,0.0002549632218404128,3.3383843575516944e-05
tfsi,353,soft,0.006172552530272102,0.0005922609151596723
tfsi,353,hard,0.0012805442681326738,7.60778386858234e-05
tfsi,373,soft,0.008894094492536808,0.0008533086374747054
tfsi,373,hard,0.0021653627602143395,0.00015168238293571687
tfsi,423,soft,0.013531431975625187,0.0013706362660390662
tfsi,423,hard,0.005293473383816138,0.00020615073872317445
beti,298,soft,0.0008288018634326973,0.0002435173560318714
beti,298,hard,0.00012723073098086445,2.6661741719057637e-05
beti,353,soft,0.003736445106757197,0.0006720169479765664
beti,353,hard,0.0008031128574154278,6.724476491223466e-05
beti,373,soft,0.005791488642448901,0.0006270068359448352
beti,373,hard,0.0011714948364639547,0.00011048443075838787
beti,423,soft,0.01243104038814237,0.001336101058407494
beti,423,hard,0.003629797892022781,0.00020288613876425052
fsi,298,soft,0.005447597878663121,0.0007594802491481029
fsi,298,hard,0.0016567883141350903,0.00018509388860764566
fsi,353,soft,0.018866941766339993,0.0020014804479396926
fsi,353,hard,0.00600043005892626,0.0004137338622918681
fsi,373,soft,0.01608285989711376,0.0025969992902734273
fsi,373,hard,0.00718950114588212,0.00046780815549042805
fsi,423,soft,0.025111061126046635,0.004196799216468942
fsi,423,hard,0.017509014084403994,0.0006212175302894089
tfsi,298,soft,0.0017070888368905424,0.0002640581827332405
tfsi,298,hard,0.0002549632218404128,3.3383843575516944e-05
tfsi,353,soft,0.006172552530272102,0.0005922609151596723
tfsi,353,hard,0.0012805442681326738,7.60778386858234e-05
tfsi,373,soft,0.008894094492536808,0.0008533086374747054
tfsi,373,hard,0.0021653627602143395,0.00015168238293571687
tfsi,423,soft,0.013531431975625187,0.0013706362660390662
tfsi,423,hard,0.005293473383816138,0.00020615073872317445
beti,298,soft,0.0008288018634326973,0.0002435173560318714
beti,298,hard,0.00012723073098086445,2.6661741719057637e-05
beti,353,soft,0.003736445106757197,0.0006720169479765664
beti,353,hard,0.0008031128574154278,6.724476491223466e-05
beti,373,soft,0.005791488642448901,0.0006270068359448352
beti,373,hard,0.0011714948364639547,0.00011048443075838787
beti,423,soft,0.01243104038814237,0.001336101058407494
beti,423,hard,0.003629797892022781,0.00020288613876425052
fsi,298,soft,0.005447597878663121,0.0007594802491481029
fsi,298,hard,0.0016567883141350903,0.00018509388860764566
fsi,353,soft,0.018866941766339993,0.0020014804479396926
fsi,353,hard,0.00600043005892626,0.0004137338622918681
fsi,373,soft,0.01608285989711376,0.0025969992902734273
fsi,373,hard,0.00718950114588212,0.00046780815549042805
fsi,423,soft,0.025111061126046635,0.004196799216468942
fsi,423,hard,0.017509014084403994,0.0006212175302894089
tfsi,298,soft,0.0017070888368905424,0.0002640581827332405
tfsi,298,hard,0.0002549632218404128,3.3383843575516944e-05
tfsi,353,soft,0.006172552530272102,0.0005922609151596723
tfsi,353,hard,0.0012805442681326738,7.60778386858234e-05
tfsi,373,soft,0.008894094492536808,0.0008533086374747054
tfsi,373,hard,0.0021653627602143395,0.00015168238293571687
tfsi,423,soft,0.013531431975625187,0.0013706362660390662
tfsi,423,hard,0.005293473383816138,0.00020615073872317445
beti,298,soft,0.0008288018634326973,0.0002435173560318714
beti,298,hard,0.00012723073098086445,2.6661741719057637e-05
beti,353,soft,0.003736445106757197,0.0006720169479765664
beti,353,hard,0.0008031128574154278,6.724476491223466e-05
beti,373,soft,0.005791488642448901,0.0006270068359448352
beti,373,hard,0.0011714948364639547,0.00011048443075838787
beti,423,soft,0.01243104038814237,0.001336101058407494
beti,423,hard,0.003629797892022781,0.00020288613876425052
