anion,T,event_type,state,A_N,A_lo_95,A_hi_95
fsi,298,event#1(Shell_change;interevent),soft,0.166143,0.159833,0.171934
fsi,298,event#1(Shell_change;interevent),hard,0.147997,0.100896,0.196013
fsi,353,event#1(Shell_change;interevent),soft,0.063243,0.059217,0.067258
fsi,353,event#1(Shell_change;interevent),hard,0.021954,-0.004268,0.045403
fsi,373,event#1(Shell_change;interevent),soft,0.041022,0.037193,0.044350
fsi,373,event#1(Shell_change;interevent),hard,-0.003126,-0.023903,0.016051
fsi,423,event#1(Shell_change;interevent),soft,-0.021703,-0.024572,-0.018457
fsi,423,event#1(Shell_change;interevent),hard,-0.084655,-0.096411,-0.073316
fsi,298,event#2(Pair_breaking;survival),soft,0.395298,0.348026,0.436456
fsi,298,event#2(Pair_breaking;survival),hard,0.219572,0.163940,0.263108
fsi,353,event#2(Pair_breaking;survival),soft,0.305358,0.263828,0.344437
fsi,353,event#2(Pair_breaking;survival),hard,0.114497,0.070951,0.151270
fsi,373,event#2(Pair_breaking;survival),soft,0.292749,0.260701,0.322994
fsi,373,event#2(Pair_breaking;survival),hard,0.195019,0.132225,0.255533
fsi,423,event#2(Pair_breaking;survival),soft,0.253933,0.220167,0.287151
fsi,423,event#2(Pair_breaking;survival),hard,0.104566,0.058546,0.145117
fsi,298,soft_hard_duration,soft,0.155644,0.075166,0.218738
fsi,298,soft_hard_duration,hard,0.169982,0.118319,0.217198
fsi,353,soft_hard_duration,soft,0.054604,-0.012397,0.114773
fsi,353,soft_hard_duration,hard,0.084968,0.053354,0.113173
fsi,373,soft_hard_duration,soft,0.088328,-0.000005,0.164404
fsi,373,soft_hard_duration,hard,0.085300,0.051876,0.113979
fsi,423,soft_hard_duration,soft,0.054086,-0.054250,0.129874
fsi,423,soft_hard_duration,hard,0.021860,0.003658,0.038793
fsi,298,x_total,total,0.609556,0.588578,0.631453
fsi,353,x_total,total,0.456180,0.443310,0.468434
fsi,373,x_total,total,0.426467,0.416004,0.436865
fsi,423,x_total,total,0.333644,0.327278,0.340784
tfsi,298,event#1(Shell_change;interevent),soft,0.394928,0.380927,0.408363
tfsi,298,event#1(Shell_change;interevent),hard,0.206011,0.147310,0.252175
tfsi,353,event#1(Shell_change;interevent),soft,0.294509,0.285405,0.304198
tfsi,353,event#1(Shell_change;interevent),hard,0.036335,0.004762,0.065536
tfsi,373,event#1(Shell_change;interevent),soft,0.247193,0.239185,0.254960
tfsi,373,event#1(Shell_change;interevent),hard,0.011118,-0.014917,0.037169
tfsi,423,event#1(Shell_change;interevent),soft,0.166945,0.161064,0.172777
tfsi,423,event#1(Shell_change;interevent),hard,-0.033048,-0.051216,-0.017513
tfsi,298,event#2(Pair_breaking;survival),soft,0.581103,0.494945,0.637359
tfsi,298,event#2(Pair_breaking;survival),hard,0.216595,0.048471,0.312573
tfsi,353,event#2(Pair_breaking;survival),soft,0.471888,0.425048,0.511198
tfsi,353,event#2(Pair_breaking;survival),hard,0.197656,0.078069,0.274405
tfsi,373,event#2(Pair_breaking;survival),soft,0.406931,0.367123,0.445203
tfsi,373,event#2(Pair_breaking;survival),hard,0.195487,0.136912,0.241083
tfsi,423,event#2(Pair_breaking;survival),soft,0.400907,0.354385,0.448080
tfsi,423,event#2(Pair_breaking;survival),hard,0.105992,0.072355,0.136322
tfsi,298,soft_hard_duration,soft,0.066722,-0.019631,0.139611
tfsi,298,soft_hard_duration,hard,0.217958,0.158695,0.265514
